,,,,,,,,,,,,,,,,,,,
Title,Column 20,Organization,Year,Resource Type,Primary Education Sector,Primary Audience,Regulation & Policy,Effective Teaching,Data Privacy/Security Practices,Professional Development,Procurement,System Implementation & Optimization,Differently-abled or Neurodiverse Students,Under-funded / Under-resourced schools,ESL/multi-lingual students,Access and Equity Consideration,Practical Usage,Tools Included,Notes
Final report of the Commission expert group on Artificial Intelligence and data in education and training Executive Summary,https://op.europa.eu/o/opportal-service/download-handler?identifier=7f64223f-540d-11ed-92ed-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=,Expert Group on Artificial Intelligence and Data in Education and Training,2022,Report,K-12 Education,"School Administrators, Policymakers and governments, Teachers, ""Local Education Agencies (e.g., school districts, county offices)""",2,2,3,1,1,2,1,0,0,1,2,"""Potential Risks, Disadvantages, or Considerations"", Articles or Reports","Although not very equity-oriented, it is one of the few resources where data use and privacy are a central focus"
Human-Centered AI Guidance for K–12 Public Schools,https://static1.squarespace.com/static/64398599b0c21f1705fb8fb3/t/66b66c3665fce31854dae63c/1723231288038/WA+comprehensive-ai-guidance.pdf,Washington Office of Superintendent of Public Instruction,2024,Guidance Document,K-12 Education,"Teachers, Technology Staff, ""Local Education Agencies (e.g., school districts, county offices)""",2,2,2,2,1,3,2,1,2,2,3,"Policy guides or sample policies, ""Instructional images, documents, or presentations"", Personalized User Guides, Articles or Reports, ""Potential Risks, Disadvantages, or Considerations"", Guidelines, Frameworks, Sample Use Cases",Highly comprehensive and inclusive; definitely one of the best sources
Artificial Intelligence (AI) Guidance for Local Education Agencies (LEAs),https://ride.ri.gov/sites/g/files/xkgbur806/files/2025-12/RIDE%20AI%20Guidance%208.15.25.pdf,Rhode Island Department of Education (RIDE),2025,Guidance Document,K-12 Education,"Teachers, ""Local Education Agencies (e.g., school districts, county offices)""",2,3,2,1,2,2,2,1,2,2,3,"Policy guides or sample policies, Sample Communication, ""Instructional images, documents, or presentations"", Articles or Reports, Checklists, ""Potential Risks, Disadvantages, or Considerations"", Frameworks, Sample Use Cases, Guidelines",Numerous resources/tools
Guidance on the Future of Computer Science Education in an Age of AI ,https://www.teachai.org/media/guidance-on-the-future-of-computer-science-education-in-an-age-of-ai,"TeachAI, Computer Science Teachers Association",2025,Guidance Document,K-12 Education,"Teachers, School Administrators, Technology Staff",1,3,2,2,1,2,2,1,2,2,2,"""Instructional images, documents, or presentations"", Personalized User Guides, Articles or Reports, ""Potential Risks, Disadvantages, or Considerations"", Sample Use Cases, Frameworks",Target audience is CS educators in particular
Planning Guide for AI: A Framework for School Districts ,https://virtuallearningalliance.org/wp-content/uploads/2023/11/VLLA-AI-Planning-Guide_11-6-23.pdf,"Virtual Learning Leadership Alliance, Michigan Virtual",2023,Framework,K-12 Education,"""Local Education Agencies (e.g., school districts, county offices)"", Teachers, School Administrators",2,3,2,2,1,2,1,1,0,1,2,"Policy guides or sample policies, Frameworks, Sample Use Cases, ""Potential Risks, Disadvantages, or Considerations"", Guidelines","Although not very equity-oriented, it is valuable in that it closely prioritizes administrators on how to actually integrate AI in the classroom, and discusses AI for business/data operations"
Artificial Intelligence: A Local Action Planning Guide,https://marylandpublicschools.org/about/documents/dccr/ai/03-local-action-planning-guide-companion-a.pdf,Maryland State Department of Education (MSDE),2026,Guidance Document,K-12 Education,"""Local Education Agencies (e.g., school districts, county offices)""",2,2,2,2,2,2,2,1,2,2,2,"Policy guides or sample policies, ""Potential Risks, Disadvantages, or Considerations"", Frameworks, Checklists, Guidelines",
Microsoft Education AI Toolkit,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/bade/documents/products-and-services/en-us/education/Microsoft-Education-AI-Toolkit1.pdf,Microsoft,2026,Toolkit,"K-12 Education, Higher Education","Teachers, School Administrators, ""Local Education Agencies (e.g., school districts, county offices)"", Technology Staff",2,3,2,3,1,3,2,1,2,2,3,"""Instructional images, documents, or presentations"", ""Potential Risks, Disadvantages, or Considerations"", Guidelines, Sample Use Cases, Articles or Reports",
AI ADOPTION IN THE EDUCATION SYSTEM | OECD Artificial Intelligence Papers series,https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/12/ai-adoption-in-the-education-system_43251cf0/69bd0a4a-en.pdf,Organisation for Economic Co-operation and Development (OECD),2025,Guidance Document,K-12 Education,"Teachers, Policymakers and governments, Technology Staff",3,2,2,2,2,2,2,1,2,3,3,"Policy guides or sample policies, Articles or Reports, Guidelines, Frameworks, ""Potential Risks, Disadvantages, or Considerations"", Sample Use Cases","Pursues equity angle through other underserved groups (girls, immigrants, etc.)"
AI Pedagogy Portal ,https://sites.gatech.edu/aipedagogyportal/,Georgia Technical University,2025,Digital Knowledge Site or Portal,Higher Education,Teachers,2,3,2,3,0,0,2,0,2,2,2,"""Potential Risks, Disadvantages, or Considerations"", Guidelines, Sample Use Cases, ""Instructional images, documents, or presentations"", Policy guides or sample policies, Articles or Reports","Although relatively brief, this resource is good for university professors and is highly pragmatic"
The Pedagogical Promptbook,https://edtechbooks.s3.us-west-2.amazonaws.com/pdfs/2340/_2340.pdf,"David Wiley, associate professor at Marshall University",2026,Book,Higher Education,Teachers,0,3,0,2,0,3,1,0,2,1,3,"Sample Use Cases, Frameworks, Guidelines, ""Potential Risks, Disadvantages, or Considerations""","Although not quite equity-oriented, it is hands-on with LLMs"
AI competency framework for students | UNESCO,https://www.unesco.org/en/articles/ai-competency-framework-students,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2024,Framework,K-12 Education,Teachers,1,3,2,2,1,3,1,1,2,2,2,"""Instructional images, documents, or presentations"", Articles or Reports, Frameworks, Sample Use Cases, ""Potential Risks, Disadvantages, or Considerations""",
Living and Working with Artificial Intelligence | 2025-2026 Curriculum ,https://sites.google.com/view/ai4gayear2resources/curriculum/Overview,"AI4GA Initative; developed by state education agency and universites, such as Georgia Tech",2025,Sample Curriculum,K-12 Education,"Teachers, ""Local Education Agencies (e.g., school districts, county offices)""",2,3,2,3,0,1,1,3,2,3,3,"""Lesson slideshows, worksheets, and activities""","This student curriculum is hard to evaluate under our current evaluation metrics, which are built for administrative materials like formal frameworks; thus, we may present curriculum resources differently in the UI"
AI Literacy Toolkit,https://researchguides.library.vanderbilt.edu/ai-lit-toolkit/home,Vanderbilt University,2025,Toolkit,Higher Education,Teachers,2,3,2,3,0,1,0,1,0,2,2,"""Lesson slideshows, worksheets, and activities""",Same curriculum note; more about teaching about AI rather than with AI - may require reclassification
